SKU,Product Name,Item Category,Description,Price,# Photos,Main Image File
BP_HCow_Brown_BP,Beaded Pen - Highland Cow (Brown Basic Pen),Beaded Pen,Highland cow charm – brown basic pen,$6,3,BP_HCow_Brown_BP.jpg
BP_HorseHead_BGW_BP,Beaded Pen - Horse Head Black/Grey/White (Basic Pen),Beaded Pen,Black horse head silhouette charm – black/grey/white basic pen,$6,3,BP_HorseHead_BGW_BP.jpg
BP_IceCoffee_GoldBP,Beaded Pen - Iced Coffee (Gold Basic Pen),Beaded Pen,Iced coffee charm – gold basic pen,$6,3,BP_IceCoffee_GoldBP.jpg
BP_Labubu_BP,Beaded Pen - Labubu (Basic Pen),Beaded Pen,Labubu charm – basic pen,$8,4,BP_Labubu_BP.jpg
BP_NurseHat_BlackSP,Beaded Pen - Nurse Hat (Black Sparkle Pen),Beaded Pen,Nurse hat & stethoscope charm – black sparkle pen,$6,3,BP_NurseHat_BlackSP.jpg
BP_PButterfly_BP,Beaded Pen - Purple Butterfly (Basic Pen),Beaded Pen,Purple butterfly charm – basic pen,$6,2,BP_PButterfly_BP.jpg
BP_PButterfly_PBP,Beaded Pen - Purple Butterfly (Pattern Basic Pen),Beaded Pen,Purple butterfly charm – pattern basic pen,$6,2,BP_PButterfly_PBP.jpg
BP_PinkScrub_bp,Beaded Pen - Pink Scrub Top (Basic Pen),Beaded Pen,Pink scrub top & stethoscope charm with tassel – basic pen,$6,3,BP_PinkScrub_bp.jpg
BP_PkBP,Beaded Pen - Pink Floral Beads (Pink Basic Pen),Beaded Pen,Pink floral/rose decorative beads – pink basic pen,$6,3,BP_PkBP.jpg
BP_PkPomPom,Beaded Pen - Pink Pom Pom,Beaded Pen,Pink pom pom pen,$8,3,BP_PkPomPom.jpg
BP_PurpleScrub_BP,Beaded Pen - Purple Scrub Top (Basic Pen),Beaded Pen,Purple scrub top charm – basic pen,$6,3,BP_PurpleScrub_BP.jpg
BP_Stitch_BWP_BP,Beaded Pen - Stitch (Black/White Pattern Basic Pen),Beaded Pen,Stitch charm – black & white pattern basic pen,$7,3,BP_Stitch_BWP_BP.jpg
BP_Stitch_BlueBP,Beaded Pen - Stitch (Blue Basic Pen),Beaded Pen,Stitch charm – blue basic pen,$7,3,BP_Stitch_BlueBP.jpg
BP_Stitch_DBlue_BP,Beaded Pen - Stitch (Dark Blue Basic Pen),Beaded Pen,Stitch charm – dark blue basic pen,$7,3,BP_Stitch_DBlue_BP.jpg
BP_Stitch_DPurple_BP,Beaded Pen - Stitch (Dark Purple Basic Pen),Beaded Pen,Stitch charm – dark purple basic pen,$7,3,BP_Stitch_DPurple_BP.jpg
BP_Stitch_LBlue_BP,Beaded Pen - Stitch (Light Blue Basic Pen),Beaded Pen,Stitch charm – light blue basic pen,$7,3,BP_Stitch_LBlue_BP.jpg
BP_Stitch_PW_BP,Beaded Pen - Stitch (Pink/White Basic Pen),Beaded Pen,Stitch charm – pink & white basic pen,$7,4,BP_Stitch_PW_BP.jpg
BP_Stitch_PurpleBP,Beaded Pen - Stitch (Purple Basic Pen),Beaded Pen,Stitch charm – purple basic pen,$7,3,BP_Stitch_PurpleBP.jpg
BP_Stitch_RW_BP,Beaded Pen - Stitch (Red/White Basic Pen),Beaded Pen,Stitch charm – red & white basic pen,$7,3,BP_Stitch_RW_BP.jpg
BP_Stitch_White_BP,Beaded Pen - Stitch (White Basic Pen),Beaded Pen,Stitch charm – white basic pen,$7,3,BP_Stitch_White_BP.jpg
BP_SunFlower_YPomPomP,Beaded Pen - Sunflower (Yellow Pom Pom Pen),Beaded Pen,Sunflower charm – yellow pom pom pen,$8,4,BP_SunFlower_YPomPomP.jpg
BP_TanHorse_WhiteBP,Beaded Pen - Tan Horse (White Basic Pen),Beaded Pen,Tan horse charm – white basic pen,$6,3,BP_TanHorse_WhiteBP.jpg
BP_WCat_Black_BP,Beaded Pen - White Cat (Black Basic Pen),Beaded Pen,White cat charm – black basic pen,$6,3,BP_WCat_Black_BP.jpg
BP_WHorseHead_SilverSP,Beaded Pen - White Horse Head (Silver Sparkle Pen),Beaded Pen,White horse head charm – silver sparkle pen,$6,4,BP_WHorseHead_SilverSP.jpg
BP_WPomPom,Beaded Pen - White Pom Pom,Beaded Pen,White pom pom pen,$8,3,BP_WPomPom.jpg
BP_YButterfly_YBP,Beaded Pen - Yellow Butterfly (Yellow Basic Pen),Beaded Pen,Yellow butterfly charm – yellow basic pen,$6,4,BP_YButterfly_YBP.jpg
